time,tipPy_x,tipPy_y,tipPy_z,tipCpp_x,tipCpp_y,tipCpp_z
0.000000000000000000e+00,8.460253233200922818e-01,-1.494952983596313789e+00,-1.955009402475596427e-04,8.460253233200918377e-01,-1.494952983596313789e+00,-1.955009402475596427e-04
1.700000000000000816e-02,8.507553219424988100e-01,-1.489082587066430374e+00,-1.730945080925772549e-04,8.507553127256047842e-01,-1.489082587389041201e+00,-1.730246076973337272e-04
3.400000000000002326e-02,8.565532687347316987e-01,-1.484849153689461687e+00,-1.373718121557242471e-04,8.565532355829631461e-01,-1.484849161013638064e+00,-1.373538179779401538e-04
5.000000000000003747e-02,8.629431554857125430e-01,-1.482492333964277487e+00,-1.206834582976626879e-04,8.629430920617015000e-01,-1.482492354032994175e+00,-1.208649960785505742e-04
6.700000000000004563e-02,8.706223653249243188e-01,-1.481681131781117822e+00,-1.201927970945871569e-04,8.706222657933705422e-01,-1.481681171759657190e+00,-1.204348193190656557e-04
8.400000000000006073e-02,8.791515730026426834e-01,-1.482474383519324146e+00,-1.207332249066052457e-04,8.791514343549143851e-01,-1.482474450456846782e+00,-1.206895613489166597e-04
1.000000000000000749e-01,8.879147557106594757e-01,-1.484539170717406487e+00,-1.116811764295023318e-04,8.879145771360333894e-01,-1.484539269393100325e+00,-1.112997760729367422e-04
1.170000000000000900e-01,8.979902787338476244e-01,-1.487934291332259296e+00,-9.460776509808477882e-05,8.979900539039122886e-01,-1.487934431033520077e+00,-9.413283740532311624e-05
1.340000000000000913e-01,9.088092231031973389e-01,-1.492281488099073794e+00,-7.896833849789009797e-05,9.088089493587759859e-01,-1.492281677574897714e+00,-7.865320605948277095e-05
1.500000000000001055e-01,9.195723909274091667e-01,-1.496896284990431703e+00,-6.992858023657059509e-05,9.195720714547042096e-01,-1.496896529485713501e+00,-6.974512897599328726e-05
1.670000000000001206e-01,9.314459462104516252e-01,-1.501898631902653269e+00,-6.475095643748148911e-05,9.314455811294771737e-01,-1.501898942004401771e+00,-6.455934685507651056e-05
1.840000000000001357e-01,9.434925701738825499e-01,-1.506449426161570848e+00,-6.145008955194095242e-05,9.434921657296295727e-01,-1.506449805818693033e+00,-6.115870576974926959e-05
2.000000000000001499e-01,9.546191063869601257e-01,-1.509757490448837114e+00,-6.040202528191022761e-05,9.546186757553227764e-01,-1.509757933366922655e+00,-5.986381627077325650e-05
2.170000000000001650e-01,9.656607002064838685e-01,-1.511629290870575293e+00,-6.359246860225420558e-05,9.656602594207628343e-01,-1.511629788150987475e+00,-6.226345321894446690e-05
2.340000000000001801e-01,9.751486637351434172e-01,-1.511274938634934895e+00,-7.220162024532048560e-05,9.751482341190207404e-01,-1.511275464037952432e+00,-6.908854230725093137e-05
2.500000000000001665e-01,9.818619539345431191e-01,-1.508621338924680311e+00,-8.488668581946778521e-05,9.818615532507203314e-01,-1.508621857037297342e+00,-7.894047121371037146e-05
2.670000000000001816e-01,9.857861721885037287e-01,-1.503355874390624347e+00,-1.030915275167314341e-04,9.857858160106678369e-01,-1.503356344822074586e+00,-9.287338482110678707e-05
2.840000000000001967e-01,9.856687795865964885e-01,-1.495954747072121060e+00,-1.267577337595332965e-04,9.856684723886175448e-01,-1.495955133965085393e+00,-1.111585107680323158e-04
3.000000000000002109e-01,9.814281560854239972e-01,-1.487657701384180076e+00,-1.542958423361411990e-04,9.814278906601989760e-01,-1.487657988746718063e+00,-1.330031206632406029e-04
3.170000000000002260e-01,9.723594897858363062e-01,-1.478250635165578419e+00,-1.883654896166867833e-04,9.723592589409899567e-01,-1.478250809241346886e+00,-1.609464688675575454e-04
3.340000000000002411e-01,9.586725218751892541e-01,-1.469114498494366927e+00,-2.256594738637480611e-04,9.586723145026525561e-01,-1.469114563797518036e+00,-1.927363949105599748e-04
3.500000000000002554e-01,9.418116097523394625e-01,-1.461503031573788025e+00,-2.617374524609900120e-04,9.418114156932129166e-01,-1.461503005805232736e+00,-2.248254449591224750e-04
3.670000000000002705e-01,9.200135947132639380e-01,-1.455125512783679964e+00,-2.987274899099169839e-04,9.200134077776473962e-01,-1.455125405507627701e+00,-2.593816783311203209e-04
3.840000000000002855e-01,8.945871084299451548e-01,-1.451045073559364962e+00,-3.314804992291505228e-04,8.945869236118625389e-01,-1.451044900382812086e+00,-2.919096004869976640e-04
4.000000000000002998e-01,8.676538412223198105e-01,-1.449671252478391459e+00,-3.555961113909843424e-04,8.676536550557659710e-01,-1.449671030124640048e+00,-3.179399370580898070e-04
4.170000000000003149e-01,8.361227711043175415e-01,-1.451112906234956146e+00,-3.712981014739185639e-04,8.361225806565216745e-01,-1.451112643516206058e+00,-3.378409213658872898e-04
4.340000000000003300e-01,8.018033575639329502e-01,-1.455738406793020134e+00,-3.747066826948167889e-04,8.018031603346303937e-01,-1.455738114716063514e+00,-3.474029230783992183e-04
4.500000000000003442e-01,7.670854350379817665e-01,-1.463105287903575524e+00,-3.658081487893327069e-04,7.670852291171422754e-01,-1.463104978377476328e+00,-3.457059627790625539e-04
4.670000000000003593e-01,7.276959617044853612e-01,-1.474175410300157640e+00,-3.436697544486387677e-04,7.276957440619221673e-01,-1.474175094306980904e+00,-3.322228805056192270e-04
4.840000000000003744e-01,6.857265798884633057e-01,-1.488559781635920842e+00,-3.096269773966828145e-04,6.857263477738778645e-01,-1.488559473555265411e+00,-3.073036663179886134e-04
5.000000000000003331e-01,6.438065375285960679e-01,-1.505038900883596709e+00,-2.684891245959385576e-04,6.438062884973571043e-01,-1.505038616304079202e+00,-2.746564434940476055e-04
5.170000000000003482e-01,5.965690015833814419e-01,-1.525510269149807474e+00,-2.176369697554436731e-04,5.965687294877372038e-01,-1.525510030323947053e+00,-2.322068884587790327e-04
5.340000000000003633e-01,5.463660088835827766e-01,-1.548787141858817495e+00,-1.625581245461198208e-04,5.463657059078486089e-01,-1.548786974383454140e+00,-1.844449516221804953e-04
5.500000000000003775e-01,4.961939707791541698e-01,-1.572951868166884370e+00,-1.100659190429163520e-04,4.961936276178220417e-01,-1.572951795741402314e+00,-1.375387661553983845e-04
5.670000000000003926e-01,4.395172590066661611e-01,-1.600599757569257875e+00,-5.719083272997225759e-05,4.395168553489011698e-01,-1.600599820803380480e+00,-8.901264845152353686e-05
5.840000000000004077e-01,3.790703528617331286e-01,-1.629719658491696421e+00,-1.098206177445874192e-05,3.790698618536905151e-01,-1.629719898239800902e+00,-4.543712689487745099e-05
6.000000000000004219e-01,3.184511802922296297e-01,-1.657826473433104297e+00,2.322941753120933155e-05,3.184505718091290571e-01,-1.657826921194182734e+00,-1.216278125523603771e-05
6.170000000000004370e-01,2.497907107131820403e-01,-1.687573253591911460e+00,4.662890004798528050e-05,2.497899250976348684e-01,-1.687573970250950239e+00,1.178694787579406193e-05
6.340000000000004521e-01,1.764941328089772998e-01,-1.716090266385134955e+00,5.389216206280931739e-05,1.764930973298156625e-01,-1.716091300521185747e+00,2.112709728060061074e-05
6.500000000000004663e-01,1.031357152404553945e-01,-1.740548518717152771e+00,4.391570913979826307e-05,1.031343590784098985e-01,-1.740549888138281709e+00,1.461143901330117564e-05
6.670000000000004814e-01,2.059729309803595698e-02,-1.762366738178385184e+00,1.415655652871680584e-05,2.059548983528636246e-02,-1.762368477559566493e+00,-9.331920026668357251e-06
